Book Id,Author,Author l-f,Additional Authors,ISBN,ISBN13,my_rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,matches,match_score,authors,description,average_rating,categories,title,combined_text
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,and then there were none,and then there were none Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Dan Brown,,0.0,Unknown,angels  demons,angels  demons Dan Brown  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,appointment with death,appointment with death Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,at bertrams hotel,at bertrams hotel Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Nicholas Sparks,,0.0,Unknown,at first sight,at first sight Nicholas Sparks  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,George MacDonald,,0.0,Unknown,at the back of the north wind,at the back of the north wind George MacDonald  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Clive Cussler,,0.0,Unknown,atlantis found,atlantis found Clive Cussler  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Ayn Rand,,0.0,Unknown,atlas shrugged,atlas shrugged Ayn Rand  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Lee Child,,0.0,Unknown,bad luck and trouble,bad luck and trouble Lee Child  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Charles Dickens, Eileen Warren Norris",,0.0,Unknown,barnaby rudge,"barnaby rudge Charles Dickens, Eileen Warren Norris  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Anne Rice,,0.0,Unknown,beautys punishment,beautys punishment Anne Rice  Unknown    
22822858.0,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0.0,4.29,Doubleday,Hardcover,720.0,2015.0,2015.0,,2021/10/05,currently-reading,currently-reading (#3),currently-reading,,,,1.0,0.0,"[('big little lies', 79)]",86.0,Liane Moriarty,,0.0,Unknown,a little life,a little life Liane Moriarty  Unknown  currently-reading Doubleday 2015.0
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,black friday,black friday James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephen King,,0.0,Unknown,blaze,blaze Stephen King  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Sidney Sheldon,,0.0,Unknown,bloodline,bloodline Sidney Sheldon  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Carole Marsh,,0.0,Unknown,bow wow,bow wow Carole Marsh  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Ruth Fosdick Jones,,0.0,Unknown,boy of the pyramids,boy of the pyramids Ruth Fosdick Jones  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Josephine Tey,,0.0,Unknown,brat farrar,brat farrar Josephine Tey  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephenie Meyer,,0.0,Unknown,breaking dawn,breaking dawn Stephenie Meyer  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Graham Greene,,0.0,Unknown,brighton rock,brighton rock Graham Greene  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Herman Cyril McNeile,,0.0,Unknown,bulldog drummond,bulldog drummond Herman Cyril McNeile  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Deborah Howe, James Howe",,0.0,Unknown,bunnicula,"bunnicula Deborah Howe, James Howe  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Dorothy L. Sayers,,0.0,Unknown,busmans honeymoon,busmans honeymoon Dorothy L. Sayers  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,by the pricking of my thumbs,by the pricking of my thumbs Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,cards on the table,cards on the table Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Joseph Sheridan Le Fanu,,0.0,Unknown,carmilla,carmilla Joseph Sheridan Le Fanu  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Nora Roberts,,0.0,Unknown,carolina moon,carolina moon Nora Roberts  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,cat  mouse,cat  mouse James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,cat among the pigeons,cat among the pigeons Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Joseph Heller,,0.0,Unknown,catch22,catch22 Joseph Heller  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Elisabetta Dami,,0.0,Unknown,chi si nasconde a topford,chi si nasconde a topford Elisabetta Dami  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Dorothy L. Sayers,,0.0,Unknown,clouds of witness,clouds of witness Dorothy L. Sayers  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Michael Crichton,,0.0,Unknown,congo,congo Michael Crichton  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,William Gibson,,0.0,Unknown,count zero,count zero William Gibson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,P. D. James,,0.0,Unknown,cover her face,cover her face P. D. James  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,crooked house,crooked house Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,cross,cross James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,curtain,curtain Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephen King,,0.0,Unknown,cycle of the werewolf,cycle of the werewolf Stephen King  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,V. C. Andrews,,0.0,Unknown,dark angel,dark angel V. C. Andrews  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Gillian Flynn,,0.0,Unknown,dark places,dark places Gillian Flynn  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Jeffry P. Lindsay,,0.0,Unknown,darkly dreaming dexter,darkly dreaming dexter Jeffry P. Lindsay  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Isabel Allende,,0.0,Unknown,de amor y de sombra,de amor y de sombra Isabel Allende  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,dead mans folly,dead mans folly Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Joseph Smith Fletcher,,0.0,Unknown,dead mens money,dead mens money Joseph Smith Fletcher  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Николай Васильевич Гоголь,,0.0,Unknown,dead souls,dead souls Николай Васильевич Гоголь  Unknown    
301082.0,Charlaine Harris,"Harris, Charlaine",,"=""0441008534""","=""9780441008537""",0.0,3.97,Ace Books,Mass Market Paperback,292.0,2001.0,2001.0,,2014/07/09,to-read,to-read (#1),to-read,,,,0.0,0.0,"[('dead until dark sookie stackhouse 1', 100)]",100.0,Charlaine Harris,,0.0,Unknown,dead until dark sookie stackhouse 1,dead until dark sookie stackhouse 1 Charlaine Harris  Unknown  to-read Ace Books 2001.0
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,death comes as the end,death comes as the end Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,death in the clouds,death in the clouds Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,death on the nile,death on the nile Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Dan Brown,,0.0,Unknown,deception point,deception point Dan Brown  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Dean Koontz,,0.0,Unknown,demon seed,demon seed Dean Koontz  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,destination unknown,destination unknown Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Walter Mosley,,0.0,Unknown,devil in a blue dress easy rawlins mysteries,devil in a blue dress easy rawlins mysteries Walter Mosley  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Georgette Heyer,,0.0,Unknown,devils cub alastairaudley 2,devils cub alastairaudley 2 Georgette Heyer  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Kathy Reichs,,0.0,Unknown,déjà dead,déjà dead Kathy Reichs  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Lee Child,,0.0,Unknown,die trying,die trying Lee Child  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Douglas Adams,,0.0,Unknown,dirk gently’s holistic detective agency,dirk gently’s holistic detective agency Douglas Adams  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,double cross,double cross James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Bram Stoker,,0.0,Unknown,dracula,dracula Bram Stoker  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephen King,,0.0,Unknown,duma key,duma key Stephen King  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,dumb witness,dumb witness Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Lee Child,,0.0,Unknown,echo burning,echo burning Lee Child  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Arturo Pérez-Reverte,,0.0,Unknown,el club dumas,el club dumas Arturo Pérez-Reverte  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Carlos Ruiz Zafón,,0.0,Unknown,el juego del ángel,el juego del ángel Carlos Ruiz Zafón  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,elephants can remember,elephants can remember Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Leonard Shortall, Donald J. Sobol",,0.0,Unknown,encyclopedia brown boy detective,"encyclopedia brown boy detective Leonard Shortall, Donald J. Sobol  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,endless night,endless night Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,evil under the sun,evil under the sun Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Sandra Brown,,0.0,Unknown,exclusive,exclusive Sandra Brown  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,V. C. Andrews,,0.0,Unknown,fallen hearts,fallen hearts V. C. Andrews  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Raymond Chandler,,0.0,Unknown,farewell my lovely,farewell my lovely Raymond Chandler  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Johann Wolfgang von Goethe,,0.0,Unknown,faust,faust Johann Wolfgang von Goethe  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephen King,,0.0,Unknown,firestarter,firestarter Stephen King  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Enid Blyton,,0.0,Unknown,five go adventuring again,five go adventuring again Enid Blyton  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,five little pigs,five little pigs Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Enid Blyton,,0.0,Unknown,five on a treasure island,five on a treasure island Enid Blyton  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Enid Blyton,,0.0,Unknown,five run away together,five run away together Enid Blyton  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stieg Larsson,,0.0,Unknown,flickan som lekte med elden,flickan som lekte med elden Stieg Larsson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Neil Gaiman,,0.0,Unknown,fragile things,fragile things Neil Gaiman  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Mary Shelley,,0.0,Unknown,frankenstein or the modern prometheus,frankenstein or the modern prometheus Mary Shelley  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Robert A. Heinlein,,0.0,Unknown,friday,friday Robert A. Heinlein  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"E. L. Konigsburg, Jill Clayburgh",,0.0,Unknown,from the mixedup files of mrs basil e frankweiler,"from the mixedup files of mrs basil e frankweiler E. L. Konigsburg, Jill Clayburgh  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephen King,,0.0,Unknown,full dark no stars,full dark no stars Stephen King  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Dorothy L. Sayers,,0.0,Unknown,gaudy night,gaudy night Dorothy L. Sayers  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Stephen King,,0.0,Unknown,geralds game,geralds game Stephen King  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Elisabetta Dami,,0.0,Unknown,giù le zampe faccia di fontina,giù le zampe faccia di fontina Elisabetta Dami  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,L. Frank Baum,,0.0,Unknown,glinda of oz,glinda of oz L. Frank Baum  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Nora Roberts,,0.0,Unknown,glory in death,glory in death Nora Roberts  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Gillian Flynn,,0.0,Unknown,gone girl,gone girl Gillian Flynn  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Charles Dickens, Charles Dickens",,0.0,Unknown,great expectations,"great expectations Charles Dickens, Charles Dickens  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,John Buchan,,0.0,Unknown,greenmantle,greenmantle John Buchan  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,halloween party,halloween party Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Thomas Harris,,0.0,Unknown,hannibal,hannibal Thomas Harris  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Charles Dickens,,0.0,Unknown,hard times,hard times Charles Dickens  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Louise Fitzhugh,,0.0,Unknown,harriet the spy,harriet the spy Louise Fitzhugh  Unknown    
136251.0,J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5.0,4.62,Arthur A. Levine Books,Hardcover,759.0,2007.0,2007.0,2016/06/18,2016/05/02,,,read,,,,1.0,0.0,"[('harry potter and the deathly hallows', 83)]",95.0,J. K. Rowling,,0.0,Unknown,harry potter and the deathly hallows harry potter 7,harry potter and the deathly hallows harry potter 7 J. K. Rowling  Unknown   Arthur A. Levine Books 2007.0
6.0,J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5.0,4.57,Scholastic,Paperback,734.0,2002.0,2000.0,2016/06/06,2016/05/11,,,read,,,,1.0,0.0,"[('harry potter and the goblet of fire', 82)]",95.0,"J. K. Rowling, Jim Kay",,0.0,Unknown,harry potter and the goblet of fire harry potter 4,"harry potter and the goblet of fire harry potter 4 J. K. Rowling, Jim Kay  Unknown   Scholastic 2002.0"
1.0,J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5.0,4.58,Scholastic Inc,Paperback,652.0,2006.0,2005.0,2016/06/15,2016/05/11,,,read,,,,1.0,0.0,"[('harry potter and the halfblood prince', 83)]",95.0,"J. K. Rowling, Mary GrandPré",,0.0,Unknown,harry potter and the halfblood prince harry potter 6,"harry potter and the halfblood prince harry potter 6 J. K. Rowling, Mary GrandPré  Unknown   Scholastic Inc 2006.0"
72193.0,J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5.0,4.47,Bloomsbury Publishing,Paperback,223.0,1997.0,1997.0,2016/05/22,2015/11/05,,,read,,,,1.0,0.0,"[('harry potter and the philosophers stone', 83)]",91.0,J. K. Rowling,,0.0,Unknown,harry potter and the philosopher’s stone harry potter 1,harry potter and the philosopher’s stone harry potter 1 J. K. Rowling  Unknown   Bloomsbury Publishing 1997.0
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Joseph Conrad,,0.0,Unknown,heart of darkness,heart of darkness Joseph Conrad  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,hercule poirots christmas,hercule poirots christmas Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"Cornelia Funke, Christian Birmingham, Angelika Lundquist-Mog",,0.0,Unknown,herr der diebe,"herr der diebe Cornelia Funke, Christian Birmingham, Angelika Lundquist-Mog  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Agatha Christie,,0.0,Unknown,hickory dickory death,hickory dickory death Agatha Christie  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Arthur Conan Doyle,,0.0,Unknown,his last bow 8 stories,his last bow 8 stories Arthur Conan Doyle  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,"James Patterson, Howard Roughan",,0.0,Unknown,honeymoon,"honeymoon James Patterson, Howard Roughan  Unknown    "
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Carl Hiaasen,,0.0,Unknown,hoot,hoot Carl Hiaasen  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Houghton Mifflin Company Staff,,0.0,Unknown,houghton mifflin reading intervention,houghton mifflin reading intervention Houghton Mifflin Company Staff  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Houghton Mifflin Company Staff,,0.0,Unknown,houghton mifflin science california,houghton mifflin science california Houghton Mifflin Company Staff  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Houghton Mifflin Company Staff,,0.0,Unknown,houghton mifflin vocabulary readers,houghton mifflin vocabulary readers Houghton Mifflin Company Staff  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,David Baldacci,,0.0,Unknown,hour game,hour game David Baldacci  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Victoria Holt,,0.0,Unknown,house of a thousand lanterns,house of a thousand lanterns Victoria Holt  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,James Patterson,,0.0,Unknown,i alex cross,i alex cross James Patterson  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Robert Cormier,,0.0,Unknown,i am the cheese,i am the cheese Robert Cormier  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Markus Zusak,,0.0,Unknown,i am the messenger,i am the messenger Markus Zusak  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Terry Pratchett,,0.0,Unknown,i shall wear midnight,i shall wear midnight Terry Pratchett  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Elisabetta Dami,,0.0,Unknown,il codice del drago,il codice del drago Elisabetta Dami  Unknown    
,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,0.0,,,,Umberto Eco,,0.0,Unknown,il nome della rosa,il nome della rosa Umberto Eco  Unknown    
